number,district_sector,latitude,longitude,month,summarized_offense_description,zone_beat,violence_offense_description
0,D,47.620815277,-122.332344055,3,Public Offense,D3,other
1,S,47.53314209,-122.269989014,3,Public Offense,S2,other
2,O,47.575576782,-122.333740234,3,TRAFFIC,O2,other
3,F,47.526882172,-122.320274353,3,Court Violation,F3,other
4,C,47.623683929,-122.31464386,3,Violence,C1,violence
5,N,47.708656311,-122.33265686,3,Drugs,N3,other
6,D,47.614215851,-122.34197998,3,Violence,D2,violence
7,B,47.668052673,-122.379615784,3,Court Violation,B1,other
8,U,47.661296844,-122.317108154,3,Theft,U2,other
9,W,47.580734253,-122.381256104,3,Drugs,W1,other
10,B,47.661365509,-122.329566956,3,Theft,B3,other
11,N,47.697067261,-122.340797424,3,Violence,N3,violence
12,U,47.661296844,-122.317108154,3,Theft,U2,other
13,M,47.609653473,-122.333099365,3,Theft,M3,other
14,M,47.609653473,-122.333099365,3,Theft,M3,other
15,B,47.664459229,-122.380912781,3,Drugs,B1,other
16,B,47.664459229,-122.380912781,3,Drugs,B1,other
17,M,47.608753204,-122.336891174,3,Violence,M3,violence
18,Q,47.652839661,-122.389198303,3,Theft,Q1,other
19,K,47.602413177,-122.331085205,3,Public Offense,K2,other
20,O,47.551898956,-122.334220886,3,Theft,O2,other
21,M,47.608753204,-122.336891174,3,Violence,M3,violence
22,G,47.597499847,-122.317230225,3,Violence,G1,violence
23,E,47.620826721,-122.326576233,3,Violence,E1,violence
24,G,47.596652985,-122.313438416,3,Court Violation,G3,other
25,F,47.529811859,-122.322860718,3,Drugs,F3,other
26,L,47.729167938,-122.293701172,3,Theft,L1,other
27,L,47.729167938,-122.293701172,3,Theft,L1,other
28,U,47.681236267,-122.309364319,3,Fraud,U1,other
29,Q,47.624580383,-122.356712341,3,Property,Q3,other
30,L,47.717338562,-122.292785645,3,Theft,L3,other
31,R,47.579673767,-122.299156189,3,Court Violation,R2,other
32,U,47.683952332,-122.288398743,3,Public Offense,U3,other
33,N,47.731399536,-122.343391418,3,Fraud,N2,other
34,Q,47.652839661,-122.389198303,3,Theft,Q1,other
35,F,47.535514832,-122.3621521,3,Theft,F1,other
36,J,47.691505432,-122.355308533,3,Fraud,J1,other
37,D,47.616054535,-122.336166382,3,Theft,D2,other
38,D,47.614704132,-122.344795227,3,Violence,D1,violence
39,D,47.614704132,-122.344795227,3,Violence,D1,violence
40,B,47.665019989,-122.345291138,3,Violence,B3,violence
41,R,47.574768066,-122.296127319,3,Public Offense,R2,other
42,R,47.574768066,-122.296127319,3,Public Offense,R2,other
43,K,47.600452423,-122.327659607,3,Violence,K3,violence
44,S,47.542469025,-122.274093628,3,Court Violation,S2,other
45,N,47.714984894,-122.328781128,3,Theft,N2,other
46,O,47.586170197,-122.329063416,3,Drugs,O1,other
47,U,47.658489227,-122.320838928,3,Fraud,U2,other
48,K,47.60004425,-122.334823608,3,Violence,K2,violence
49,B,47.652359009,-122.354980469,3,Fraud,B2,other
50,F,47.521026611,-122.36730957,3,Theft,F2,other
51,J,47.675914764,-122.326538086,3,Property,J3,other
52,L,47.723865509,-122.304580688,3,Theft,L1,other
53,D,47.616054535,-122.336166382,3,Fraud,D2,other
54,M,47.61120224,-122.339118958,3,Theft,M1,other
55,E,47.609016418,-122.329452515,3,Theft,E3,other
56,L,47.726680756,-122.316085815,3,Fraud,L1,other
57,B,47.660015106,-122.363998413,3,Theft,B2,other
58,B,47.660015106,-122.363998413,3,Theft,B2,other
59,G,47.608055115,-122.316116333,3,Theft,G1,other
60,G,47.608055115,-122.316116333,3,Theft,G1,other
61,O,47.578769684,-122.335128784,3,Fraud,O1,other
62,M,47.61283493,-122.34262085,3,Theft,M1,other
63,99,47.759605408,-122.344230652,3,Court Violation,99,other
64,D,47.616634369,-122.352027893,3,Fraud,D1,other
65,U,47.65908432,-122.315498352,3,Fraud,U2,other
66,E,47.623699188,-122.320930481,3,Theft,E1,other
67,J,47.682250977,-122.386451721,3,Theft,J2,other
68,J,47.682250977,-122.386451721,3,Theft,J2,other
69,K,47.604873657,-122.328735352,3,Violence,K1,violence
70,K,47.604873657,-122.328735352,3,Violence,K1,violence
71,K,47.604873657,-122.328735352,3,Violence,K1,violence
72,F,47.518287659,-122.367279053,3,Theft,F2,other
73,D,47.612888336,-122.343704224,3,Theft,D1,other
74,J,47.69978714,-122.355400085,3,Property,J1,other
75,W,47.575904846,-122.410743713,3,Theft,W1,other
76,G,47.604129791,-122.323440552,3,ANIMAL COMPLAINT,G1,other
77,G,47.604129791,-122.323440552,3,ANIMAL COMPLAINT,G1,other
78,U,47.664581299,-122.283157349,3,Theft,U3,other
79,R,47.554618835,-122.293952942,3,Theft,R1,other
80,R,47.554618835,-122.293952942,3,Theft,R1,other
81,R,47.554618835,-122.293952942,3,Theft,R1,other
82,U,47.657588959,-122.31438446,3,Court Violation,U2,other
83,F,47.538272858,-122.368995667,3,Theft,F1,other
84,F,47.538272858,-122.368995667,3,Theft,F1,other
85,F,47.538272858,-122.368995667,3,Theft,F1,other
86,D,47.612888336,-122.343704224,3,Theft,D1,other
87,D,47.612888336,-122.343704224,3,Theft,D1,other
88,N,47.690498352,-122.33644104,3,Drugs,N3,other
89,G,47.594215393,-122.310256958,3,Public Offense,G3,other
90,K,47.602413177,-122.331085205,3,Violence,K2,violence
91,K,47.602413177,-122.331085205,3,Violence,K2,violence
92,K,47.602413177,-122.331085205,3,Violence,K2,violence
93,K,47.602413177,-122.331085205,3,Violence,K2,violence
94,M,47.611709595,-122.331443787,3,Theft,M2,other
